"App","Performance","Accessibility","Best practices","SEO"
"Allan","68","98","96","100"
"Cataract","93","100","96","100"
"Fields","86","90","96","100"
"Fundal Reflex","86","100","100","100"
"Glaucoma","96","96","96","100"
"Squint","87","100","100","100"
"Swollen Discs","71","100","100","100"
